ID;X;Y;ce;;;
357;381048;308501;0.1;;;
358;595254;220300;0.1;;;
359;393600;339400;0.1;;;
360;437401;275688;0.2;;;
361;370809;340403;0.1;;;
362;456050;231078;0.1;;;
363;461047;240597;0.1;;;
364;460414;245686;0.1;;;
365;552672;169832;0.1;;;
366;404490;223315;0.1;;;
367;406344;212275;0.1;;;
368;411365;206671;0.3;;;
369;414357;216138;0.1;;;
370;424725;214054;0.2;;;
371;433441;209804;0.1;;;
372;433285;199509;0.1;;;
373;427348;193264;0.1;;;
374;424854;188759;0.1;;;
375;418464;183103;0.1;;;
376;415483;185771;0.1;;;
377;416377;175222;0.3;;;
378;414115;177505;0.1;;;
379;411017;175670;0.2;;;
380;408275;182999;0.1;;;
381;408035;186673;0.1;;;
382;404805;191228;0.2;;;
383;407918;195750;0.1;;;
384;413838;194352;0.1;;;
385;416393;203050;0.1;;;
386;570186;232577;0.1;;;
387;482624;281614;0.1;;;
388;478787;290139;0.1;;;
389;468756;312699;0.1;;;
390;464898;321685;0.1;;;
391;459640;332816;0.1;;;
392;472958;333836;0.1;;;
393;474166;324603;0.1;;;
394;475549;314383;0.1;;;
395;485631;289681;0.2;;;
396;487332;295289;0.1;;;
397;494541;300766;0.1;;;
398;494608;306375;0.1;;;
399;491289;316269;0.1;;;
400;487749;311602;0.1;;;
401;486361;318288;0.1;;;
402;485305;325786;0.1;;;
403;495355;322624;0.1;;;
404;499329;318067;0.1;;;
405;498238;311596;0.1;;;
406;495877;282295;0.1;;;
407;504718;280720;0.1;;;
408;506419;290076;0.1;;;
409;512811;295263;0.1;;;
410;514884;307117;0.1;;;
411;526251;304537;0.1;;;
412;561774;130685;0.1;;;
413;570395;121581;0.1;;;
414;575662;116474;0.3;;;
415;585151;109190;0.1;;;
416;595431;106258;0.1;;;
417;594645;94692;0.1;;;
418;604708;97771;0.1;;;
419;613000;91900;0.1;;;
420;619161;86993;0.1;;;
421;610812;82251;0.1;;;
422;602071;83724;0.1;;;
423;647867;44503;0.1;;;
424;595729;70527;0.1;;;
425;601787;63037;0.2;;;
426;649783;62071;0.3;;;
427;606440;46235;0.1;;;
428;595552;49683;0.4;;;
429;601477;57609;0.1;;;
430;590226;85654;0.1;;;
431;628194;78669;0.5;;;
432;639751;74921;0.1;;;
433;639871;66075;0.1;;;
434;631170;66985;0.1;;;
435;625741;70678;0.1;;;
436;641643;48988;0.1;;;
437;634033;54007;0.2;;;
438;624615;73552;0.1;;;
439;652463;72792;0.1;;;
440;659021;64651;0.1;;;
441;664518;55668;0.1;;;
442;652999;47752;0.1;;;
443;627954;105808;0.1;;;
444;637283;100980;0.1;;;
445;641518;93267;0.1;;;
